Time,Month,Partner,OrderValue,Commission,Status,LastChanged
1/1/20 8:34:51 AM UTC+3,1,EP,1225,74.72,Approved,2/7/2020 17:07
1/1/20 8:49:04 AM UTC+3,1,EP,1057,64.48,Approved,2/7/2020 17:09
1/1/20 9:14:43 AM UTC+3,1,Other,5971,358.26,Deleted,2/7/2020 15:12
1/1/20 9:14:43 AM UTC+3,1,Other,1027,61.62,Deleted,2/7/2020 15:12
1/1/20 9:25:28 AM UTC+3,1,EP,1597,97.42,Approved,2/7/2020 17:07
1/1/20 9:30:14 AM UTC+3,1,EP,3920,239.12,Deleted,2/7/2020 15:12
1/1/20 9:32:56 AM UTC+3,1,EP,4410,269.01,Deleted,2/7/2020 15:12
1/1/20 9:53:32 AM UTC+3,1,EP,441,26.9,Deleted,2/7/2020 15:12
1/1/20 10:16:56 AM UTC+3,1,SK,980,58.8,Deleted,2/7/2020 15:12
1/1/20 10:52:51 AM UTC+3,1,EP,1344,81.98,Approved,2/7/2020 17:07
1/1/20 11:06:57 AM UTC+3,1,SK,3045,182.7,Deleted,2/7/2020 15:12
1/1/20 11:38:07 AM UTC+3,1,EP,2897,176.72,Deleted,2/7/2020 15:12
1/1/20 11:44:09 AM UTC+3,1,SK,3150,189,Deleted,2/7/2020 15:12
1/1/20 11:46:48 AM UTC+3,1,KT,1189,71.34,Approved,2/7/2020 17:08
1/1/20 12:02:13 PM UTC+3,1,KT,349,20.94,Deleted,2/7/2020 15:12
1/1/20 12:24:17 PM UTC+3,1,KT,279,16.74,Deleted,2/7/2020 15:12
1/1/20 12:39:08 PM UTC+3,1,EP,301,18.36,Deleted,2/7/2020 15:12
1/1/20 12:41:56 PM UTC+3,1,EP,700,42.7,Deleted,2/7/2020 15:12
1/1/20 12:53:13 PM UTC+3,1,EP,9800,597.8,Approved,2/7/2020 17:07
1/1/20 12:56:46 PM UTC+3,1,EP,3010,183.61,Approved,2/7/2020 17:09
1/1/20 1:01:23 PM UTC+3,1,EP,371,22.63,Approved,2/7/2020 17:08
1/1/20 1:03:35 PM UTC+3,1,EP,1750,106.75,Approved,2/7/2020 17:07
1/1/20 1:10:58 PM UTC+3,1,EP,5600,341.6,Approved,2/7/2020 17:08
1/1/20 1:43:50 PM UTC+3,1,SK,4410,264.6,Approved,2/7/2020 17:07
1/1/20 1:47:30 PM UTC+3,1,EP,1750,106.75,Approved,2/7/2020 17:09
1/1/20 2:06:52 PM UTC+3,1,EP,4900,298.9,Approved,2/7/2020 17:08
1/1/20 2:10:07 PM UTC+3,1,EP,3220,196.42,Approved,2/7/2020 17:09
1/1/20 2:39:02 PM UTC+3,1,EP,1330,81.13,Deleted,2/7/2020 15:12
1/1/20 3:02:08 PM UTC+3,1,EP,2275,138.77,Approved,2/7/2020 17:08
1/1/20 3:04:59 PM UTC+3,1,KT,2399,143.94,Approved,2/7/2020 17:09
1/1/20 3:23:42 PM UTC+3,1,KT,1007,60.42,Deleted,2/7/2020 15:12
1/1/20 3:38:29 PM UTC+3,1,EP,1299,79.24,Approved,2/7/2020 17:07
1/1/20 3:43:50 PM UTC+3,1,EP,572,34.89,Deleted,2/7/2020 15:12
1/1/20 3:43:51 PM UTC+3,1,EP,356,21.72,Deleted,2/7/2020 15:12
1/1/20 3:52:24 PM UTC+3,1,SK,2940,176.4,Approved,2/7/2020 17:08
1/1/20 4:12:33 PM UTC+3,1,KT,2999,179.94,Approved,2/7/2020 17:08
1/1/20 4:32:41 PM UTC+3,1,KT,3096,185.76,Approved,2/7/2020 17:08
1/1/20 5:04:08 PM UTC+3,1,SK,1552,93.12,Approved,2/7/2020 17:07
1/1/20 5:12:44 PM UTC+3,1,KT,149,8.94,Deleted,2/7/2020 15:12
1/1/20 5:17:54 PM UTC+3,1,SK,4097,245.82,Approved,2/7/2020 17:08
1/1/20 5:21:39 PM UTC+3,1,SK,4438,266.28,Approved,2/7/2020 17:08
1/1/20 5:32:54 PM UTC+3,1,KT,4899,293.94,Deleted,2/7/2020 15:12
1/1/20 5:38:19 PM UTC+3,1,EP,14210,866.81,Approved,2/7/2020 17:07
1/1/20 5:45:05 PM UTC+3,1,EP,15624,953.06,Approved,2/7/2020 17:09
1/1/20 5:51:17 PM UTC+3,1,KT,4799,287.94,Approved,2/7/2020 17:08
1/1/20 6:13:49 PM UTC+3,1,KT,6999,419.94,Approved,2/7/2020 17:09
1/1/20 6:17:31 PM UTC+3,1,EP,4200,256.2,Approved,2/7/2020 17:08
1/1/20 6:31:31 PM UTC+3,1,KT,4059,243.54,Approved,2/7/2020 17:09
1/1/20 6:40:35 PM UTC+3,1,EP,6160,375.76,Approved,2/7/2020 17:08
1/1/20 6:44:07 PM UTC+3,1,EP,2590,157.99,Approved,2/7/2020 17:07
1/1/20 6:58:35 PM UTC+3,1,KT,1260,75.6,Deleted,2/7/2020 15:12
1/1/20 7:29:32 PM UTC+3,1,EP,2240,136.64,Approved,2/7/2020 17:09
1/1/20 7:42:01 PM UTC+3,1,KT,1750,105,Approved,2/7/2020 17:07
1/1/20 8:38:52 PM UTC+3,1,KT,1960,117.6,Deleted,2/7/2020 15:12
1/1/20 8:42:05 PM UTC+3,1,KT,2100,126,Approved,2/7/2020 17:09
1/1/20 8:44:39 PM UTC+3,1,Other,3150,189,Deleted,2/7/2020 15:12
1/1/20 9:09:19 PM UTC+3,1,SK,700,42,Deleted,2/7/2020 15:12
1/1/20 9:10:20 PM UTC+3,1,SK,350,21,Deleted,2/7/2020 15:12
1/1/20 9:36:30 PM UTC+3,1,KT,280,16.8,Deleted,2/7/2020 15:12
1/1/20 10:01:43 PM UTC+3,1,EP,2100,128.1,Approved,2/7/2020 17:09
1/1/20 10:07:48 PM UTC+3,1,KT,2896,173.76,Approved,2/7/2020 17:08
1/1/20 11:27:23 PM UTC+3,1,SK,770,46.2,Approved,2/7/2020 17:07
1/2/20 12:59:25 AM UTC+3,1,EP,910,55.51,Approved,2/7/2020 17:08
1/2/20 6:13:24 AM UTC+3,1,KT,301,18.06,Approved,2/7/2020 17:07
1/2/20 7:40:18 AM UTC+3,1,EP,1750,106.75,Approved,2/7/2020 17:08
1/2/20 7:44:11 AM UTC+3,1,EP,2100,128.1,Approved,2/7/2020 17:09
1/2/20 7:44:59 AM UTC+3,1,EP,1400,85.4,Approved,2/7/2020 17:08
1/2/20 7:51:22 AM UTC+3,1,EP,4410,269.01,Deleted,2/7/2020 15:12
1/2/20 7:52:42 AM UTC+3,1,EP,5600,341.6,Approved,2/7/2020 17:09
1/2/20 7:56:25 AM UTC+3,1,EP,7280,444.08,Approved,2/7/2020 17:09
1/2/20 8:07:34 AM UTC+3,1,EP,7070,431.27,Approved,2/7/2020 17:07
1/2/20 8:13:07 AM UTC+3,1,EP,1523,92.9,Approved,2/7/2020 17:08
1/2/20 8:12:14 AM UTC+3,1,EP,2870,175.07,Approved,2/7/2020 17:08
1/2/20 8:21:28 AM UTC+3,1,EP,3234,197.27,Deleted,2/7/2020 15:12
1/2/20 8:37:02 AM UTC+3,1,EP,3234,197.27,Approved,2/7/2020 17:08
1/2/20 8:40:04 AM UTC+3,1,EP,1806,110.17,Approved,2/7/2020 17:07
1/2/20 9:03:18 AM UTC+3,1,EP,1542,94.06,Deleted,2/7/2020 15:12
1/2/20 9:03:18 AM UTC+3,1,EP,3454,210.69,Approved,2/7/2020 17:09
1/2/20 9:01:36 AM UTC+3,1,EP,1897,115.72,Approved,2/7/2020 17:08
1/2/20 9:03:18 AM UTC+3,1,EP,1404,85.64,Approved,2/7/2020 17:09
1/2/20 9:09:17 AM UTC+3,1,EP,3360,204.96,Approved,2/7/2020 17:08
1/2/20 9:15:28 AM UTC+3,1,KT,1649,98.94,Approved,2/7/2020 17:08
1/2/20 9:26:53 AM UTC+3,1,EP,2100,128.1,Approved,2/7/2020 17:09
1/2/20 9:29:32 AM UTC+3,1,EP,1050,64.05,Approved,2/7/2020 17:09
1/2/20 9:32:57 AM UTC+3,1,EP,1308,79.79,Approved,2/7/2020 17:09
1/2/20 9:43:18 AM UTC+3,1,EP,560,34.16,Approved,2/7/2020 17:08
1/2/20 9:45:17 AM UTC+3,1,SK,79,4.74,Deleted,2/7/2020 15:12
1/2/20 9:47:43 AM UTC+3,1,SK,79,4.74,Approved,2/7/2020 17:08
1/2/20 9:47:57 AM UTC+3,1,EP,3472,211.79,Approved,2/7/2020 17:09
1/2/20 9:46:31 AM UTC+3,1,SK,79,4.74,Approved,2/7/2020 17:07
1/2/20 9:48:54 AM UTC+3,1,SK,69,4.14,Approved,2/7/2020 17:08
1/2/20 9:50:04 AM UTC+3,1,SK,69,4.14,Approved,2/7/2020 17:08
1/2/20 9:54:33 AM UTC+3,1,SK,129,7.74,Approved,2/7/2020 17:08
1/2/20 9:55:41 AM UTC+3,1,SK,99,5.94,Approved,2/7/2020 17:09
1/2/20 9:56:42 AM UTC+3,1,SK,99,5.94,Approved,2/7/2020 17:09
1/2/20 9:58:15 AM UTC+3,1,SK,99,5.94,Approved,2/7/2020 17:08
1/2/20 10:12:01 AM UTC+3,1,KT,945,56.7,Approved,2/7/2020 17:09
1/2/20 10:09:17 AM UTC+3,1,EP,2205,134.51,Approved,2/7/2020 17:08
1/2/20 10:15:03 AM UTC+3,1,EP,385,23.49,Approved,2/7/2020 17:09
1/2/20 10:16:30 AM UTC+3,1,SK,18200,1092,Approved,2/7/2020 17:07
1/2/20 10:17:00 AM UTC+3,1,EP,24898,1518.78,Approved,2/7/2020 17:07
1/2/20 10:19:47 AM UTC+3,1,SK,6563,393.78,Deleted,2/7/2020 15:12
1/2/20 10:18:05 AM UTC+3,1,SK,6614,396.84,Approved,2/7/2020 17:07
1/2/20 10:19:43 AM UTC+3,1,EP,3010,183.61,Approved,2/7/2020 17:07
1/2/20 10:21:46 AM UTC+3,1,KT,69,4.14,Approved,2/7/2020 17:08
1/2/20 10:25:07 AM UTC+3,1,EP,3080,187.88,Approved,2/7/2020 17:08
1/2/20 10:25:28 AM UTC+3,1,EP,2940,179.34,Approved,2/7/2020 17:09
1/2/20 10:23:29 AM UTC+3,1,KT,79,4.74,Approved,2/7/2020 17:09
1/2/20 10:28:06 AM UTC+3,1,KT,1699,101.94,Approved,2/7/2020 17:09
1/2/20 10:31:48 AM UTC+3,1,EP,462,28.18,Approved,2/7/2020 17:08
1/2/20 10:35:14 AM UTC+3,1,EP,7840,478.24,Deleted,2/7/2020 15:12
1/2/20 10:35:05 AM UTC+3,1,SK,980,58.8,Deleted,2/7/2020 15:12
1/2/20 10:37:09 AM UTC+3,1,EP,3920,239.12,Approved,2/7/2020 17:08
1/2/20 10:39:39 AM UTC+3,1,EP,2800,170.8,Approved,2/7/2020 17:08
1/2/20 10:39:30 AM UTC+3,1,EP,1750,106.75,Approved,2/7/2020 17:09
1/2/20 10:43:46 AM UTC+3,1,EP,7840,478.24,Approved,2/7/2020 17:09
1/2/20 10:45:51 AM UTC+3,1,EP,1400,85.4,Approved,2/7/2020 17:07
1/2/20 10:46:19 AM UTC+3,1,EP,2100,128.1,Deleted,2/7/2020 15:12
1/2/20 10:48:25 AM UTC+3,1,SK,6563,393.78,Approved,2/7/2020 17:08
1/2/20 10:50:30 AM UTC+3,1,EP,1591,97.05,Approved,2/7/2020 17:07
1/2/20 10:51:58 AM UTC+3,1,SK,2352,141.12,Deleted,2/7/2020 15:12
